 contours_points,amount_contours,contour_length_area_ratio,contour_length_rect_area_ratio,contour_length_hull_area_ratio,contour_rect_length_ratio,contour_hull_length_ratio,extent,solidity,aspect_ratio,hull_rectangle_ratio,corners,harris_corners,type 
 1030,2,0.016090936,0.015992943,0.015992943,1.019550122,1.019550122,0.993910035,0.993910035,1,1,34,99,0 
 996,2,0.015610023,0.015470067,0.015600703,0.986216789,1.005446593,0.991034218,0.99940292,1,0.991626298,42,68,0 
 2093,34,0.057874138,0.034652836,0.034652836,2.209118274,2.209118274,0.598762015,0.598762015,1,1,100,983,0 
 1479,2,0.031468335,0.023796165,0.023819236,1.517005313,1.531243306,0.756193953,0.756927127,1,0.999031381,55,83,0 
 1386,3,0.033170947,0.022588892,0.023924468,1.44004187,1.50796033,0.680984237,0.721247659,1,0.944175317,62,158,0 
 644,3,0.052389109,0.02954464,0.039440364,1.04170288,1.229272595,0.563946227,0.752835188,2.694644039,0.74909653,62,243,0 
 1526,1,0.028604386,0.025277002,0.025299757,1.611408668,1.621821415,0.883675721,0.884471227,1,0.999100585,32,84,0 
 1002,2,0.01559993,0.015524123,0.015594146,0.98966271,1.00348504,0.995140569,0.999629246,1,0.995509658,41,221,0 
 999,2,0.01561851,0.015497093,0.015608592,0.98793969,1.004764934,0.992226067,0.999364937,1,0.992856594,40,164,0 
 1004,2,0.015614415,0.01554214,0.015607904,0.990811311,1.003752026,0.995371249,0.999583018,1,0.995786474,38,169,0 
 1003,3,0.015645613,0.015533128,0.015637256,0.990236892,1.004420237,0.992810458,0.999465878,1,0.993341023,33,40,0 
 988,3,0.015699801,0.015397998,0.015651332,0.981622386,1.008847432,0.980776624,0.996912736,1,0.983813918,35,48,0 
 1011,2,0.015633687,0.015605201,0.015630075,0.994831415,1.002250052,0.998177863,0.999768952,1,0.998408543,36,112,0 
 1470,8,0.030014742,0.023880703,0.024992238,1.522394811,1.591699939,0.795632449,0.832665411,1,0.955524798,64,256,0 
 926,2,0.083577826,0.050499935,0.061848423,1.478972295,1.644370333,0.604226475,0.740009949,4.221912634,0.816511286,88,551,0 
 1370,6,0.028030207,0.022151731,0.023086184,1.412172845,1.470688012,0.790280661,0.823618034,1,0.95952326,42,107,0 
 405,13,0.077812704,0.053481479,0.06445916,1.17790349,1.391874774,0.687310378,0.828388639,1.888113152,0.829695563,48,285,0 
 1446,3,0.027836176,0.023664501,0.024060227,1.508611781,1.551497512,0.850134767,0.864350994,1,0.983552715,50,205,0 
 1692,2,0.031563576,0.0272056,0.027362129,1.734356794,1.753002671,0.861930233,0.866889394,1,0.994279361,47,179,0 
 1413,6,0.028187449,0.023112414,0.024376895,1.473416194,1.566139542,0.81995406,0.864813794,1,0.94812787,54,139,0 
